#{"t_start": 1734956129.3670402, "env_id": "None"}
r,l,t
-1.457777,9,0.711899
457.177483,81,0.850777
-97.695576,535,3.24205
480.349196,83,3.38003
-9.791755,39,3.447956
-63.889269,528,5.711252
-139.071551,255,6.124184
-270.551399,342,8.030254
-563.543167,531,10.267384
-275.471529,346,12.095373
-163.193714,253,12.506403
-11.84108,47,12.586273
-54.989514,100,14.129602
-533.384153,508,16.334404
347.327187,244,16.717593
463.108925,82,16.843189
-1207.690269,601,19.145745
492.389163,33,20.561435
355.03185,245,20.966442
-6.909704,46,21.041702
-59.977393,158,21.302281
-4.108435,19,21.332968
499.552731,6,21.346545
-183.357767,302,23.128678
-1255.803199,601,25.432267
-9.293855,30,25.483158
499.158834,8,25.494732
399.194565,220,27.208734
-48.073627,136,27.430447
467.220514,108,27.608471
-396.798439,452,29.633587
-287.623081,376,31.472849
-296.104007,379,33.366642
-118.951416,238,33.743601
458.649229,96,33.898553
-7.452522,48,33.974598
-8.107743,55,34.062664
90.348766,470,36.123429
-26.923998,88,36.264261
-80.141926,174,37.895333
-20.150945,71,38.009821
-244.745351,323,39.819391
-1191.038585,601,42.119175
-191.906488,312,42.611757
-35.761672,108,44.138945
208.809314,390,44.760052
-49.292536,118,46.311602
-52.190011,151,46.564574
-5.327834,28,46.612976
-3.082137,9,46.622766
-4.28445,29,46.669799
-30.304177,115,46.862008
-140.324257,247,48.656053
-181.995029,294,49.14634
481.996188,88,49.295981
-1195.460174,601,52.942605
494.504744,24,52.985311
387.443937,241,53.382661
-8.619147,56,53.480941
421.211915,177,55.069677
-9.143713,54,55.174959
495.993597,28,55.223879
-1176.806864,601,57.527314
491.417432,35,57.583787
-514.770358,518,59.749281
-35.041401,115,59.931709
477.294863,89,60.080494
-35.659139,131,61.655072
497.997281,13,61.669102
-85.011902,165,61.954032
497.838597,12,61.970459
-12.698858,68,62.084708
401.028276,195,63.758078
-41.411349,131,63.969988
425.526227,156,64.226645
-136.226655,257,66.001821
-4.555853,31,66.049892
398.38379,191,66.36545
497.604238,9,66.380247
477.514049,81,66.511204
-158.677358,258,68.296007
-11.970189,43,68.367026
438.360238,143,68.603231
-22.97249,84,68.732845
-3.014434,9,68.750757
-10.506183,55,68.838871
384.121343,238,70.553572
492.624563,50,70.639842
350.280368,249,71.047446
490.394238,46,72.481621
-1216.911465,601,74.808454
-5.978796,36,74.871872
-5.987982,32,74.920525
-42.20684,141,75.148347
416.566747,183,75.42918
301.340751,301,77.227351
-8.194355,37,77.285896
-536.186463,535,79.363045
282.654317,334,81.253187
-17.282155,77,81.371425
-9.454583,56,81.461063
-52.63537,162,81.714324
-4.730559,25,81.75474
495.521375,16,81.781647
-15.434938,80,83.175286
496.357614,35,83.234833
441.784251,159,83.482475
-1193.999101,601,85.797139
-4.946778,31,85.852026
-6.367374,24,85.892586
-454.823909,486,87.949876
-61.501184,178,89.52611
-1.616871,15,89.548317
-57.719876,547,91.674934
493.835352,27,91.720566
-32.249906,119,91.908818
483.41873,64,92.012395
-6.710286,31,92.062829
-1163.776832,601,94.296989
-8.12391,29,94.347469
-1175.999077,601,97.84742
-9.166742,48,97.92905
-55.715305,150,98.16855
-53.498385,157,98.410143
-89.546863,185,100.081849
-13.756021,63,100.186709
-3.226757,20,100.220589
-83.841706,176,100.49734
-11.901445,65,100.602556
-5.64731,32,100.654826
-12.142242,65,100.767524
-101.738079,234,102.468978
-4.448029,31,102.521689
-1218.352648,601,104.787454
-1216.303397,601,107.046502
401.137007,212,108.610449
-99.791913,229,108.984157
-12.805262,64,109.087613
-11.035441,62,109.1853
-195.782855,306,111.08872
