#{"t_start": 1735814060.2260423, "env_id": "None"}
r,l,t
-1024.922661,518,1.497222
683.122874,11,1.508164
412.013271,104,1.69933
-21.183569,224,2.083921
465.433566,92,2.26257
-1120.822342,543,3.264901
-2815.358206,800,6.521518
-2720.512929,800,7.946337
97.693503,140,8.188085
-860.260002,540,9.137469
355.539049,137,9.382866
-1109.609553,503,11.996745
-64.099089,297,12.489575
393.332716,87,12.646536
-2424.563634,800,14.004503
-447.580824,396,14.670659
643.517642,20,14.714562
580.515003,42,14.791135
-560.852496,489,17.327747
507.290931,68,17.441816
640.163685,37,17.508433
515.996708,89,17.676675
-455.897213,410,18.403192
108.872661,201,18.76248
472.312915,76,18.908679
108.745072,227,19.339733
-238.231757,381,20.03744
243.471671,146,20.276087
-1588.991804,648,22.887274
553.909907,45,22.965461
254.74048,156,23.213731
-1793.780305,706,24.414008
269.072236,187,24.723757
-29.864207,231,25.102174
-724.129748,527,27.595442
459.26087,97,27.739294
466.9211,83,27.882114
636.764855,39,27.949109
392.555348,131,28.171498
493.413065,87,28.306997
411.670589,114,28.497296
312.414799,155,28.753389
-1079.568514,611,29.701086
-337.760307,364,31.965214
-171.020527,321,32.49757
606.969366,42,32.573417
669.094217,8,32.590117
-508.485769,426,33.33902
-569.4606,449,34.115742
644.741624,27,34.169346
685.107634,10,34.179201
-105.818044,312,34.731621
671.497336,15,34.744208
527.482722,67,34.836775
418.81443,128,35.071005
-157.816226,237,37.092416
-2026.739247,800,38.433134
440.11066,96,38.591224
446.209343,97,38.762123
657.201133,17,38.799912
468.568551,93,38.96174
-2065.821285,800,40.088547
543.420882,65,40.206419
-1080.544218,659,42.773475
196.562778,180,43.058239
-1965.890966,800,44.370877
-1454.057216,661,46.884228
642.018372,25,46.936885
507.873169,67,47.053479
330.651461,99,47.201026
116.054573,191,47.473926
353.450363,172,47.757596
358.228674,185,48.071983
-1082.89502,586,49.066679
82.474132,173,49.359552
-194.982389,317,51.509907
236.747505,144,51.663194
676.973331,10,51.67155
670.059085,14,51.683261
-2715.642917,800,53.033751
-2721.543224,800,54.414113
436.170844,111,54.553327
300.120315,120,54.768252
663.940661,12,54.781374
-1877.436831,800,57.598116
-466.310019,370,58.266155
-2093.13198,800,59.467951
311.134582,217,61.465322
691.734751,5,61.479891
626.904734,25,61.516415
546.010721,91,61.686144
325.844487,168,61.969118
-63.280121,449,62.719405
395.089321,102,62.8901
12.235823,265,63.335258
492.963131,81,63.486593
564.507405,61,63.54284
-1834.756664,800,66.369785
-41.346501,303,66.898898
-1604.377121,800,68.252874
664.085681,14,68.271963
311.161472,173,68.578729
483.430403,70,68.70212
115.264444,194,69.027143
569.689246,51,69.109755
-130.952113,434,71.493861
-1861.760196,800,72.871182
199.796002,145,73.120851
538.211052,59,73.204244
651.995296,21,73.252213
446.645734,96,73.414531
-1691.70404,800,74.798494
207.20485,222,76.761068
595.537736,45,76.845834
-564.187589,535,77.749318
249.297693,182,78.062391
416.366067,91,78.211612
-1579.397265,800,79.602726
595.533708,40,79.673957
655.661294,29,79.720904
38.671627,270,81.739953
632.959272,28,81.76337
-133.627096,341,82.241977
208.694504,170,82.515281
217.101149,236,82.925875
-77.615776,353,83.526615
700.0,1,83.52766
383.537311,168,83.808377
631.300203,32,83.860828
632.578437,32,83.918364
619.919427,68,84.038994
304.072876,180,84.351073
-430.735895,662,87.061203
-1061.116804,565,88.061629
638.282182,35,88.1223
240.865468,179,88.423326
-864.86254,551,89.140297
-271.737481,559,91.649844
398.398075,158,91.909619
203.416471,169,92.205421
660.446377,14,92.217225
-2173.765161,800,93.543019
-0.063044,272,93.989472
544.29775,92,94.137296
-299.537547,388,96.329832
607.03441,48,96.435098
298.376181,205,96.76503
329.438799,131,96.998722
-95.722004,288,97.462854
332.19967,176,97.754469
22.513342,232,98.158757
685.771592,13,98.189682
126.797447,238,98.575856
542.976511,65,98.683239
669.638779,11,98.699875
111.049645,290,99.172093
-100.681972,337,101.26361
-140.028784,398,101.890047
676.379094,11,101.906346
330.048923,136,102.13737
600.903896,45,102.206792
668.722235,17,102.24164
610.66999,47,102.322716
141.519744,202,102.647469
598.401597,76,102.77185
541.051479,74,102.896279
-98.652183,416,103.571887
497.870915,99,103.734531
-1457.805931,800,106.54881
465.460775,120,106.74946
328.731781,160,107.038676
-21.678564,283,107.516254
594.005288,49,107.611943
536.713519,75,107.746337
593.266202,37,107.810162
-89.610249,342,108.395659
608.573317,76,108.525604
694.190323,6,108.531502
363.189402,111,108.725561
185.002781,258,109.177436
298.049269,278,111.233029
536.026374,80,111.386253
597.248996,53,111.474025
519.509259,82,111.611916
-1188.616577,643,112.73894
666.621054,15,112.75741
513.030117,89,112.925231
684.481736,5,112.929908
-171.655887,380,113.56935
315.967417,205,113.902517
593.824876,46,113.981951
-152.101168,272,114.438258
656.669741,39,114.507663
156.36233,230,116.426636
683.463653,10,116.441958
619.481419,42,116.511548
469.70062,82,116.653985
680.969195,11,116.670886
129.398277,507,117.497907
649.063453,23,117.541413
682.176653,12,117.557855
667.576156,28,117.61219
62.62878,260,118.02841
-1826.536924,800,119.372719
171.994231,348,121.42826
614.291509,50,121.52326
599.246187,43,121.59624
548.656261,88,121.732259
-1207.046902,800,122.876089
674.218134,7,122.882324
92.901825,524,123.760333
453.295426,102,123.934823
409.54624,118,124.127323
79.928707,210,125.915757
-125.478411,470,126.722689
-281.400097,523,127.648793
640.453108,40,127.718487
569.474848,65,127.836119
503.930106,125,128.065064
612.257066,39,128.136764
313.527902,130,128.354103
537.21043,81,128.501122
-2019.178856,800,131.243427
371.104113,174,131.542886
649.811321,13,131.577689
113.550135,206,131.925446
665.648028,22,131.973015
597.057037,85,132.081021
220.843447,243,132.485321
691.172291,9,132.494231
-29.650837,252,132.936381
333.424791,177,133.24804
120.869543,344,133.849666
622.173296,32,133.904289
82.80979,274,136.017435
503.529582,85,136.161928
648.22335,24,136.208068
566.475237,47,136.287617
-1463.258828,800,137.501019
618.040793,35,137.563124
524.901928,98,137.744104
544.676841,63,137.858331
528.228863,98,138.022506
560.118202,73,138.14986
618.210052,32,138.204741
218.136322,199,138.571466
665.785889,36,138.628439
70.062731,252,139.061077
350.137077,174,140.871981
610.159387,48,140.946157
399.049564,123,141.109536
604.042392,62,141.193042
618.073076,45,141.262528
615.481581,56,141.365684
667.734213,13,141.383129
-452.480672,580,142.342504
434.672078,131,142.571218
565.347238,73,142.676615
-129.741308,362,143.284457
668.27134,17,143.300112
301.686607,201,143.640934
551.713164,75,143.75669
-162.180695,328,146.089547
220.593871,208,146.436085
370.894573,185,146.761187
457.446051,117,146.960433
573.880017,63,147.044701
616.161191,46,147.084197
-531.717446,627,147.994666
15.599865,364,148.611036
626.702869,30,148.666616
-590.100579,628,151.28267
-59.309737,576,152.200429
142.155181,206,152.531906
677.055864,19,152.574899
109.419088,279,153.032561
523.104471,111,153.219029
569.32852,76,153.346976
595.021067,56,153.432648
667.348301,19,153.473517
645.336983,38,153.538275
553.565856,90,153.678607
514.268256,90,153.839358
557.861978,71,153.942178
275.314475,194,155.909348
694.75945,7,155.922565
672.661646,14,155.957429
673.039535,17,155.973507
639.331452,54,156.075375
619.20056,41,156.148733
598.983118,53,156.229021
538.527964,76,156.372364
581.581644,55,156.468609
291.108776,160,156.732834
640.987415,32,156.785361
-904.041,704,158.019996
691.351299,10,158.046377
686.46559,8,158.054087
662.455127,17,158.082243
418.704896,211,158.455342
-664.985248,616,161.145984
642.610344,17,161.162357
638.853533,20,161.209421
352.519081,163,161.478809
527.142588,79,161.622689
589.48256,61,161.725652
664.728309,33,161.785374
678.063392,25,161.837687
109.603475,351,162.435024
19.680054,312,162.980237
166.236329,246,163.415213
326.807266,216,163.791427
624.58749,46,163.886127
552.466816,89,164.029081
597.651772,63,164.145962
685.326761,5,164.151017
573.18879,59,164.25905
689.902173,12,164.276229
539.79592,56,164.37958
695.017237,4,164.384691
-524.66507,654,167.00052
629.1214,39,167.064519
686.949611,11,167.080919
347.787478,158,167.339453
462.185181,118,167.502665
622.517959,33,167.559754
-84.487154,356,168.160038
-72.127404,286,168.636261
-216.308884,416,171.000063
558.181218,87,171.154047
467.758408,91,171.298078
558.969503,83,171.450653
-1409.347629,800,172.826857
-288.906228,357,173.452425
688.11463,7,173.459401
653.704492,16,173.497325
145.083462,273,173.968074
-1478.385927,800,176.884928
-1337.155283,800,178.158287
668.900965,15,178.184042
226.774941,317,178.711276
579.094135,74,178.836762
415.045755,146,179.0863
640.697717,37,179.148324
82.46069,308,181.237969
375.077967,118,181.427872
682.805985,8,181.440624
260.656922,177,181.750107
698.630847,2,181.751958
113.635466,336,182.324881
663.043715,30,182.376414
-568.251765,764,183.68583
196.484891,245,184.101658
423.811766,135,184.34584
423.348492,182,186.215666
690.897894,5,186.220012
577.390466,78,186.322384
603.835958,78,186.449973
438.146786,136,186.680633
606.029267,53,186.756483
563.485775,77,186.88593
543.874251,104,187.065025
658.898029,19,187.085301
-581.721551,700,188.22428
-541.615893,489,188.88738
671.709223,21,188.904676
653.734758,28,188.927784
678.555906,17,188.944148
600.038518,61,189.026917
689.329464,6,189.04056
641.848448,28,189.086375
685.941309,9,189.097723
525.116082,146,190.869148
401.227305,141,191.088142
321.639521,182,191.396622
629.394588,35,191.450462
-419.890311,668,192.515715
503.940685,79,192.64291
585.343788,59,192.727739
324.794332,182,193.032765
619.250621,45,193.102879
471.007585,121,193.29906
639.187829,38,193.360042
644.73037,28,193.412877
696.990455,5,193.417197
430.585727,166,193.688118
621.897641,51,193.776736
445.587689,161,194.039249
373.241604,206,195.88641
597.116049,61,196.000043
106.686317,307,196.506097
653.556013,28,196.551205
-68.172438,383,197.192782
597.769758,58,197.272602
572.618062,108,197.416494
565.347481,58,197.506547
-773.052836,620,198.54437
618.528195,92,198.692409
662.643934,22,198.73288
343.996223,188,200.551694
692.430617,6,200.562772
652.514716,31,200.608423
698.427033,2,200.614887
687.419574,13,200.639176
604.919808,54,200.716679
593.120608,41,200.782711
634.966916,26,200.836967
578.26206,49,200.910475
224.99159,241,201.314422
409.618512,151,201.556827
649.863674,36,201.617286
-593.208117,714,202.779666
13.201096,283,203.238871
-777.299535,659,205.97956
116.238082,335,206.528119
-171.772349,601,207.515308
87.29028,312,208.063352
526.620158,66,208.184237
268.531409,189,208.508483
576.603299,54,208.616735
478.59751,120,208.814616
673.630097,26,208.861739
468.41102,102,210.655663
537.783081,87,210.794653
541.532087,87,210.95228
-87.137255,410,211.648493
673.20364,12,211.660391
173.854794,216,212.039622
541.276706,91,212.194696
683.76932,18,212.23085
-2063.863201,800,213.568037
498.675874,162,213.835372
511.815719,133,215.678046
698.906502,2,215.685978
469.651957,139,215.91343
625.303699,49,216.000413
515.308305,82,216.161495
654.327364,34,216.227925
698.716706,3,216.231776
601.17609,45,216.322326
428.361821,150,216.5704
699.625935,2,216.572176
405.659018,150,216.821911
691.911847,5,216.826224
385.458805,127,217.037523
670.120069,9,217.058853
576.002682,60,217.146291
172.83215,228,217.522331
617.999705,54,217.621558
684.531115,6,217.632919
627.389774,29,217.681814
539.395337,81,217.821201
562.634186,86,217.964857
665.627704,23,218.005845
398.317327,261,218.429092
598.142415,63,218.541588
599.701569,50,218.624777
480.307803,104,218.814071
698.195633,2,218.820806
614.727429,65,218.934249
-120.249449,432,221.3699
150.618327,252,221.810033
504.54249,129,222.039534
698.413622,2,222.045049
-675.967696,723,223.31307
633.588848,62,223.409507
690.133214,9,223.434471
429.163837,119,223.632454
601.680116,56,223.717271
-630.512123,550,226.239599
639.383837,29,226.294852
385.511659,172,226.591704
643.720957,27,226.641611
-297.009821,427,227.369811
661.36412,19,227.392703
640.495439,49,227.468591
499.840631,138,227.703831
567.168958,94,227.846416
639.429508,34,227.875492
681.79243,13,227.887351
679.651994,16,227.901696
560.69846,104,227.992378
-19.269376,309,228.476234
695.497369,3,228.478928
-59.30204,323,229.004124
48.965179,301,231.163839
610.103505,66,231.278775
-2189.588891,800,232.697212
516.39817,78,232.842645
386.9813,163,233.1215
672.686553,14,233.156648
-245.313696,547,234.12338
-1176.824106,800,236.945872
149.791969,260,237.397196
180.125156,271,237.874877
647.205925,21,237.901615
694.642661,5,237.913415
593.820972,56,238.015601
669.159056,22,238.058093
465.741003,132,238.274898
618.580398,49,238.370239
613.581728,47,238.451665
700.0,1,238.452725
419.672417,148,238.706728
401.558825,167,238.983302
696.212883,4,238.991061
-54.31598,341,241.220527
557.208241,84,241.368255
283.32223,220,241.738566
-2264.492635,800,243.124121
295.300751,149,243.386264
602.292554,68,243.504178
623.36403,57,243.590172
526.764634,86,243.74519
331.687766,192,244.084281
495.573368,105,244.265405
428.742514,157,244.531884
684.637858,8,244.54716
326.040745,182,246.481553
453.779564,96,246.646226
606.38135,43,246.716695
696.518266,2,246.724812
376.111958,172,246.995778
179.95397,241,247.401591
677.532133,11,247.426316
671.199976,19,247.442996
627.24669,40,247.507581
-2050.215252,800,248.801412
579.0349,60,248.91316
606.304157,45,248.984044
673.063355,20,249.025275
-18.34669,223,249.400718
627.385668,32,249.444945
580.365179,50,249.542732
665.148017,20,249.560975
686.326432,11,251.145937
585.399093,90,251.287677
646.046675,22,251.334202
454.835438,128,251.536183
438.303001,146,251.722769
310.058875,182,252.032405
412.781058,186,252.344545
644.263458,30,252.400547
515.501927,102,252.55836
-213.686172,522,253.299421
582.196301,82,253.377123
614.313038,43,253.444693
630.996574,33,253.503593
669.626774,22,253.543446
651.898073,43,253.613536
629.550343,61,253.703461
644.281704,26,253.749933
402.078711,169,253.962516
663.936317,23,253.982479
-96.187881,307,255.974416
649.397714,22,256.021047
-998.693391,800,257.345958
690.997648,6,257.357269
655.955365,37,257.418669
671.087131,15,257.432142
692.176136,5,257.441185
700.0,1,257.443627
655.963709,28,257.491614
639.414481,39,257.555674
562.949547,70,257.675838
644.616847,28,257.729862
683.13878,22,257.770848
548.596727,82,257.912978
269.916672,253,258.313964
681.067731,7,258.335628
324.22046,230,258.726421
627.563106,31,258.773652
593.043016,61,258.868718
672.760587,18,258.912519
612.433279,38,258.978177
675.508356,15,258.997404
688.084008,8,259.021669
657.383645,30,259.060894
654.090818,31,260.864958
671.639848,21,260.908462
700.0,1,260.909549
642.301855,30,260.967076
539.285297,68,261.090485
-93.659801,337,261.671419
680.922458,18,261.697875
555.538236,83,261.862265
697.945288,2,261.864086
662.498341,27,261.909644
553.664962,62,262.01318
654.762386,23,262.063844
406.240211,135,262.295124
-391.856662,445,263.145457
282.801432,172,263.433373
449.244398,136,263.665223
553.476815,54,263.773511
609.732438,60,263.861492
688.266976,6,263.876123
592.166246,70,263.992389
173.586918,296,266.136996
628.914435,75,266.265632
-856.941903,655,267.33145
500.278667,231,267.720105
584.78289,73,267.846195
574.690089,62,267.961968
214.727345,243,268.359756
626.926228,34,268.42024
619.409056,45,268.490776
178.607174,260,268.941205
-1093.440956,800,271.924765
552.106927,77,272.056485
536.429302,100,272.235165
-846.28593,615,273.294295
544.201694,95,273.451388
680.947895,14,273.471038
663.525743,21,273.51319
688.691624,16,273.532116
502.036309,107,273.719149
649.783709,32,273.777848
699.204522,2,273.779835
690.66693,9,273.788379
350.192025,233,274.189666
167.53104,238,274.603568
675.827207,21,274.63711
413.705091,165,276.467535
437.523391,133,276.721301
239.524853,240,277.128047
-1030.03662,773,278.526116
658.691192,23,278.561944
622.306422,49,278.665017
685.010027,7,278.678355
638.531134,27,278.728927
204.156331,321,279.294432
678.98224,13,279.306634
227.132366,281,279.822447
201.44787,272,281.962676
695.37676,6,281.968456
564.505668,52,282.06791
485.115875,87,282.212067
432.199074,196,282.50857
591.074139,77,282.644473
678.060911,17,282.67737
691.28718,7,282.684096
633.978278,38,282.748077
697.797028,4,282.754267
502.177408,109,282.938286
534.915109,122,283.160505
653.544592,31,283.217057
676.453662,14,283.237493
426.27814,152,283.464799
669.653979,24,283.515538
611.423069,45,283.586448
232.818316,239,284.003675
259.128973,177,284.31378
514.419618,133,284.533715
617.304293,54,284.579304
633.626909,34,284.607708
583.303657,66,284.662664
-889.091361,609,287.217585
586.609999,60,287.319896
696.724719,2,287.321941
633.09219,34,287.382594
635.127775,58,287.496561
694.129139,5,287.501001
623.285836,46,287.57399
554.792212,79,287.705409
387.424582,210,288.073991
560.009109,77,288.203672
618.400779,56,288.313243
598.313733,75,288.440946
688.342805,11,288.452049
617.941621,27,288.505756
657.272736,17,288.523175
548.645608,53,288.628454
692.957474,4,288.632092
541.367925,123,288.83387
466.358421,130,289.06231
448.682417,109,289.244772
689.363944,8,289.267698
567.449048,66,289.371683
483.745555,121,289.588463
588.892681,63,289.688681
662.013996,14,289.719048
606.750515,70,289.843308
677.147501,15,289.857675
660.702061,25,289.909794
688.861863,15,289.927092
616.894102,59,291.632736
625.301085,29,291.673245
-213.87876,687,292.847543
623.296977,63,292.96391
599.91518,56,293.049083
497.615048,93,293.217393
573.905146,75,293.343225
616.714825,43,293.411896
322.04565,215,293.782817
651.46597,38,293.848094
614.803102,70,293.970408
476.760879,113,294.159955
377.17987,176,294.467321
636.985423,50,294.548479
643.874808,34,294.608407
558.386188,96,294.785311
641.968708,27,294.824241
610.632779,66,294.931106
595.052718,42,295.012429
598.328128,51,296.780558
615.30414,66,296.876438
419.296452,142,297.111688
614.022993,55,297.213233
-1204.182205,800,298.542129
-225.427977,451,299.284098
598.902935,70,299.345232
17.902274,305,299.755145
692.089998,7,299.773381
648.505177,44,299.8424
501.627877,164,301.740648
400.331,183,302.003139
540.462491,77,302.130802
554.625839,58,302.211973
571.217471,80,302.348462
473.611905,120,302.565203
120.741567,260,303.001006
661.690494,24,303.046817
679.510107,13,303.064156
559.092099,77,303.190145
423.651332,127,303.411973
668.544088,17,303.436007
600.409437,105,303.617867
570.539848,61,303.72223
674.231198,21,303.748791
548.058447,98,303.923292
591.109833,68,304.037515
637.228445,52,304.122762
607.65464,53,304.227033
661.410553,25,304.256579
550.473634,98,304.430903
653.884157,27,304.455527
604.80401,73,304.579863
635.941063,53,304.625598
594.033703,47,304.696169
465.949421,173,306.573655
458.94727,157,306.834659
619.189369,41,306.907149
-576.027356,800,308.223736
39.666928,320,308.758849
371.307235,170,309.060013
96.487975,367,309.693375
594.077726,46,309.763818
664.362467,29,309.820561
675.08231,19,309.838058
694.190959,8,309.853274
677.208457,17,309.890217
504.73666,118,311.689543
505.150761,116,311.87423
657.02262,28,311.931395
361.502423,186,312.239108
661.367933,27,312.296673
-2263.05959,800,313.653446
526.11303,107,313.835969
634.45638,48,313.912746
427.980187,116,314.04897
311.902837,201,314.380895
301.291419,220,314.747859
427.720899,171,316.61736
518.213292,95,316.770853
500.428862,114,316.893635
669.605191,15,316.90669
680.941578,17,316.921437
644.51444,35,316.952434
643.367602,36,316.983638
674.94441,21,317.001604
673.404845,21,317.021013
485.936182,125,317.247435
698.897527,3,317.252321
-329.242768,501,318.113064
-1102.916722,800,319.525024
330.237074,217,319.905533
700.0,1,319.912584
-1171.792564,800,322.968923
536.714875,70,323.093328
700.0,1,323.094412
696.126467,6,323.105703
492.698692,109,323.287542
637.897339,51,323.382787
518.135234,65,323.482931
645.940718,45,323.569142
349.76368,222,323.929051
587.903788,66,324.035488
676.70014,8,324.049191
422.702924,172,324.354742
621.021601,44,324.435562
577.203518,53,324.520408
534.601844,102,324.694184
615.899059,36,324.755548
661.548395,38,324.818709
670.06539,17,324.857373
386.216644,168,326.678069
158.487017,278,327.156435
465.778697,158,327.413806
550.632732,101,327.602643
525.242675,117,327.793227
669.12266,20,327.840426
605.318508,72,327.953579
685.415584,8,327.970988
696.580308,4,327.974495
697.794003,5,327.978885
-587.527233,800,329.256451
552.111248,88,329.404498
544.356382,110,329.584727
593.700984,72,329.70628
498.853001,126,329.916026
559.066774,68,330.024398
669.648357,19,331.643494
638.73113,40,331.708511
633.807915,55,331.796628
662.29011,24,331.837063
697.664033,4,331.840743
480.245116,138,332.081362
149.966668,229,332.462393
674.911523,12,332.472929
566.634069,66,332.590255
686.489431,9,332.598269
686.693518,7,332.611378
-457.909831,436,333.3461
-1169.749122,800,334.670682
633.014218,45,334.73945
652.419837,37,334.802178
698.163009,3,334.804876
481.555687,108,334.990221
485.965071,124,336.875482
360.05569,145,337.136716
341.335663,178,337.451245
684.532366,5,337.461934
648.744755,28,337.507317
663.316439,24,337.539836
598.311055,34,337.60059
651.317952,34,337.661099
604.364679,64,337.778349
-1344.470267,800,339.186224
685.405589,10,339.201635
276.029994,170,339.506679
561.360298,54,339.587914
240.141675,282,340.083564
613.700186,43,340.153393
590.843233,64,340.271407
429.597941,117,342.111763
675.433502,12,342.1234
522.372641,88,342.286913
675.431858,20,342.311612
507.852202,158,342.587583
650.498007,33,342.641882
301.223642,213,343.009885
469.277383,86,343.167028
603.192941,74,343.300509
464.207116,149,343.555159
613.84293,73,343.682112
700.0,1,343.683184
638.163777,34,343.744054
664.326748,45,343.815206
635.578564,52,343.899472
649.124947,43,343.983932
654.262665,27,344.019269
414.915598,116,344.220078
667.877015,33,344.277462
544.721136,86,344.441692
632.869593,40,344.508921
135.99081,296,345.021805
543.71183,92,345.174097
685.547287,11,345.20501
-402.634993,710,348.050996
455.018162,229,348.429514
245.873355,248,348.853611
698.57522,3,348.862533
666.465338,20,348.881804
154.126451,310,349.415845
592.955896,68,349.526183
523.020947,111,349.711605
264.559414,356,350.312773
328.614885,131,350.528884
276.853611,246,352.56645
649.90993,16,352.582039
659.120107,30,352.637443
666.850807,14,352.657779
669.294547,23,352.699391
678.043341,14,352.714418
456.715743,195,353.036033
579.668615,98,353.209248
638.134503,45,353.289254
651.405305,41,353.355575
691.808304,7,353.377467
508.594552,112,353.572632
700.0,1,353.573586
699.252193,2,353.581581
686.322393,8,353.589097
538.602511,118,353.787253
696.15217,6,353.795969
577.901094,83,353.952314
324.969938,222,354.334718
634.565232,32,354.377357
548.825399,122,354.605997
495.561321,119,354.806317
696.50217,4,354.810352
671.828587,30,354.867114
658.822843,42,354.936412
-1169.973911,800,357.947877
686.866767,8,357.956201
653.818931,49,358.037444
530.307838,152,358.30266
473.264481,157,358.573283
524.000212,102,358.742003
633.21636,36,358.813047
681.674201,15,358.844138
694.783584,6,358.849658
642.13133,42,358.912246
684.923571,13,358.931992
615.427114,63,359.021963
697.273795,5,359.027202
651.398968,36,359.081745
-49.837361,330,359.553908
651.004338,22,359.584346
663.759689,26,359.622289
581.235851,63,359.711234
664.560371,27,359.750722
678.600653,25,359.78479
697.170005,5,359.793203
685.953208,9,359.804527
697.857801,3,359.8083
684.193066,9,359.822526
614.376481,41,359.88029
655.755804,30,359.922246
644.337153,32,359.968947
683.597374,12,359.985087
679.826408,19,360.011312
653.6375,36,360.063479
544.830276,88,360.185334
-766.79053,800,362.675352
654.102316,33,362.71924
678.008778,12,362.738836
677.315728,18,362.762091
696.239173,6,362.771664
696.08444,7,362.780926
-129.689845,491,363.473942
638.483576,30,363.515991
280.111264,209,363.804736
643.272211,40,363.863906
672.481615,21,363.890232
652.152024,38,363.94401
528.551161,103,364.085548
656.498358,26,364.123677
671.632272,22,364.151328
621.749914,57,364.231098
569.145097,85,364.345953
678.135013,12,364.364497
699.076122,3,364.367138
286.8308,261,366.086943
689.244202,13,366.104443
700.0,1,366.106175
379.254706,198,366.381447
628.991025,42,366.442601
674.256213,18,366.467106
679.329825,18,366.490769
698.528604,3,366.496329
658.403243,22,366.527942
-557.628495,754,367.572448
604.177453,54,367.650245
663.080808,33,367.693755
626.588883,58,367.776593
253.236585,274,368.16326
655.505129,29,368.203919
559.814474,99,368.34931
689.252272,13,368.368289
-73.846131,276,368.744869
-392.617653,496,370.720092
694.352061,3,370.724974
527.814385,128,370.909748
561.893828,71,371.010479
693.736291,6,371.021096
699.69511,2,371.025378
-93.571061,254,371.373244
100.041415,205,371.653867
350.905638,209,371.940944
598.943637,57,372.018268
-584.417462,647,372.903931
649.237036,45,372.968138
697.119568,5,372.972483
691.881855,9,372.988445
648.039122,31,373.028105
493.03919,108,374.452645
671.0823,16,374.475764
431.985159,143,374.682398
629.354297,35,374.730633
189.519614,265,375.115803
563.594962,82,375.234851
699.038449,2,375.236828
696.528229,6,375.248284
668.0215,26,375.284212
688.332563,10,375.298233
638.525047,43,375.359645
683.26726,13,375.378974
683.353565,12,375.397736
688.198037,8,375.407032
605.04916,42,375.468054
528.277516,85,375.591303
636.063358,35,375.644739
655.664666,38,375.696209
684.471204,13,375.71575
692.346609,5,375.722471
693.156926,8,375.735353
657.473864,26,375.774594
293.576447,234,376.11006
367.910394,162,376.347697
645.055475,28,376.387738
522.596024,120,376.559257
624.85025,42,376.618979
528.481724,78,376.729923
479.120155,139,376.930318
-1091.635663,800,379.341542
290.104206,221,379.653608
695.375625,6,379.664134
638.137411,40,379.7175
527.957409,82,379.837035
612.6823,47,379.90455
633.055391,46,379.973614
666.036333,21,380.001361
546.802916,78,380.115922
668.037174,21,380.144306
