#{"t_start": 1734702926.3206987, "env_id": "None"}
r,l,t
-4023.932805,592,47.902564
-3497.787201,762,107.142483
-1999.089147,408,139.344393
768.507904,40,142.781083
-6134.759385,1001,223.851926
-6227.509896,894,298.631342
-582.655521,235,317.103191
264.685305,118,326.633491
-5741.780468,909,401.082397
721.1735,28,403.421274
-1285.85169,314,428.321816
409.210606,104,436.598462
-485.679965,185,451.331673
-1830.64934,430,486.128521
-7797.235717,1001,567.270581
-4098.734003,715,626.896312
878.870325,14,628.087596
156.775005,149,640.680892
-642.082818,236,660.422608
-619.177844,251,680.770353
-1686.041442,354,708.247853
-2002.505091,439,742.559769
