#{"t_start": 1735030256.1202679, "env_id": "None"}
r,l,t
493.977167,12,0.568756
68.629085,565,1.06753
323.902295,289,1.323807
332.977712,235,1.532937
472.979013,51,1.581057
495.082642,10,1.590296
-219.607608,800,2.285566
419.139938,148,3.53571
295.137994,330,3.832347
488.082176,38,3.868969
312.473242,290,4.125691
-199.058581,800,4.833619
490.622922,16,4.848372
478.554106,47,4.89206
462.980791,67,4.953262
268.348932,291,5.210372
476.839833,53,5.258812
429.480354,147,6.34808
156.183831,601,6.875879
356.338415,236,7.084687
248.867053,343,7.387179
-44.564257,761,8.056167
374.535181,177,9.174843
463.505965,54,9.224234
451.463395,72,9.289708
336.565607,292,9.548778
267.907008,456,9.950968
-192.954886,800,10.650874
430.954381,99,10.749384
493.736644,14,10.762042
464.917568,74,10.829781
432.158174,105,11.898024
166.716847,473,12.315871
32.094896,712,12.939484
459.893426,73,13.006328
403.336288,207,13.190907
132.829978,546,14.640921
461.106632,85,14.719032
304.526617,313,15.00047
-209.702359,800,15.70922
96.925578,571,16.207549
471.909376,47,16.251851
459.911034,83,16.328417
467.32652,71,16.392346
158.920378,770,18.049242
453.301155,97,18.137819
270.056529,349,18.447635
484.099236,31,18.478765
372.839534,277,18.728881
57.824119,796,20.438622
231.945786,540,20.920186
-192.514395,800,21.624411
462.414688,80,21.697763
492.63105,18,21.714694
477.605197,47,21.759192
491.317944,17,21.775491
249.386615,483,23.149594
457.204554,142,23.276089
473.500056,67,23.337588
-78.862481,800,24.044097
229.344011,439,24.432334
83.458046,684,25.995161
359.395752,307,26.269775
464.833276,126,26.383739
496.024341,15,26.397544
462.643143,111,26.499661
362.652232,310,26.777134
444.9606,94,26.861639
490.035874,31,26.891715
-41.643154,800,28.552298
280.902487,538,29.028602
407.692764,214,29.219824
16.817558,800,29.924934
231.380677,557,31.383313
425.343919,132,31.50039
359.455854,347,31.805656
498.217599,6,31.811162
126.475391,644,32.374228
436.869102,158,32.514253
-166.030425,800,34.173335
285.372029,343,34.472451
454.439374,76,34.540317
482.857059,28,34.567035
434.420535,90,34.650337
452.647148,135,34.768621
316.045898,317,35.045535
497.746257,5,35.049961
398.72492,220,35.242957
487.047246,31,35.272242
415.838342,175,35.429047
462.157259,68,35.490296
158.472892,598,36.957701
387.223767,318,37.236441
-205.31829,800,37.930484
262.173194,472,38.340094
395.91445,177,38.493387
474.290612,36,38.527091
359.660622,254,39.700083
335.620771,326,39.979127
484.368133,49,40.023577
498.689906,6,40.028898
468.105251,68,40.088735
456.100364,83,40.163371
398.501194,244,40.376418
486.116624,32,40.406311
474.819948,38,40.442602
470.194937,60,40.498406
-6.866798,800,41.183519
190.902098,467,42.529804
384.954584,212,42.714367
399.914128,230,42.915354
151.50506,742,43.552018
441.226047,91,43.637959
196.420817,711,45.194391
389.29668,184,45.355833
475.683345,50,45.401838
479.349957,36,45.435245
448.445087,113,45.534375
442.985041,112,45.634222
492.261549,11,45.644234
259.388793,477,46.053334
468.396016,61,46.108932
480.245188,37,46.142365
473.547029,79,46.213527
451.668007,97,46.302069
484.175555,30,46.329908
480.984237,34,46.361724
434.865186,143,46.487379
393.746829,222,46.690605
-3.731968,800,48.317133
482.279341,44,48.355138
462.435322,69,48.418168
210.116241,725,49.052678
463.193595,59,49.104991
438.833338,150,49.236113
406.620945,177,49.389839
499.431379,7,49.3959
490.133162,24,49.418103
494.69934,17,49.433544
492.601306,21,49.452551
420.520752,145,50.527008
438.645538,154,50.662244
484.980643,49,50.706181
499.603632,3,50.708829
475.907471,66,50.767214
460.940582,79,50.837859
432.430574,152,50.969615
499.310394,3,50.972267
395.16454,318,51.243663
312.821144,336,51.535781
283.248276,506,51.970129
470.003528,82,52.044782
489.883722,21,52.063837
472.917928,58,52.118389
484.976558,26,52.142279
-31.434832,800,53.77212
-23.510874,800,54.468922
487.064073,30,54.496665
471.937753,76,54.565021
383.712361,203,54.740523
151.860474,572,56.167055
401.14049,233,56.369497
489.031507,23,56.39046
477.86975,77,56.458961
481.58559,30,56.486398
494.416291,19,56.504083
440.982711,124,56.613152
485.164706,63,56.669128
449.157151,118,56.772002
493.103039,19,56.790531
199.759927,639,57.339011
489.855073,30,57.366599
492.339349,30,57.393684
485.773176,34,57.42485
457.787787,90,57.505419
243.013443,528,58.902133
-9.238574,800,59.59847
485.220417,31,59.627106
187.358802,508,60.067846
494.176596,21,60.08764
499.339925,6,60.093071
214.371383,646,61.586319
358.332085,256,61.807679
490.526028,25,61.830324
484.434803,53,61.878631
163.976827,758,62.527996
490.285428,32,62.556903
494.908912,28,62.582789
453.676774,90,62.662386
467.682815,78,62.731832
492.143142,18,62.747526
488.166547,30,62.775132
440.433373,153,62.908699
7.102705,800,64.565496
471.345491,83,64.641622
497.127723,11,64.651733
362.366313,400,65.002585
468.4793,76,65.071154
349.199776,416,65.435006
-140.729549,800,67.082655
122.981997,738,67.727361
462.473469,82,67.802033
492.94267,22,67.822901
489.463599,24,67.844883
301.686843,336,68.138216
483.991356,38,68.173235
411.129642,204,68.352758
